,model,weight_g,weight_oz,OS,internal_memory,audio_jack,GPS,battery_mah,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,thickness_mm,GPU_new,brand_idx,GPS_new,primary_cam_MP,secondary_cam_MP,gprs,edge,sim,ppi,memory_card,battery_removable,indian_price,ram
2786,Iris X1,138.0,4.87,1,8.0,1,1,2100.0,4.5,63.1,134.0,66.0,8.9,4,32,1,8.0,2.0,1.0,1.0,2,390,128,1,7404.000000000001,8
2791,Iris 450 Colour,136.0,4.8,1,4.0,1,1,1800.0,4.5,64.6,136.0,63.5,10.5,3,32,1,5.0,0.0,1.0,1.0,2,410,128,1,7404.000000000001,4
2794,Iris Pro 20,112.0,3.95,1,4.0,1,1,2000.0,4.7,65.4,138.0,67.5,7.7,5,32,1,8.0,0.0,1.0,1.0,2,210,128,1,11106.000000000002,8
2795,Iris Pro 30,114.0,4.02,1,4.0,1,1,2000.0,4.7,66.2,138.0,66.7,7.5,5,32,1,8.0,3.0,1.0,1.0,2,225,128,1,13327.2,8
2796,Iris 401e,133.0,4.69,1,512.0,1,0,1500.0,4.0,58.3,124.0,63.0,10.0,0,32,1,3.15,0.0,1.0,1.0,2,210,128,1,3702.0000000000005,4
2797,Iris 349S,115.4,4.06,1,512.0,1,1,1400.0,3.5,51.6,115.0,61.5,13.3,0,32,1,2.0,0.0,1.0,1.0,2,210,128,1,2961.6000000000004,6
2798,Iris 349+,115.4,4.06,1,512.0,1,1,1400.0,3.5,51.6,115.0,61.5,13.3,0,32,1,2.0,0.0,1.0,1.0,2,225,128,1,2961.6000000000004,8
2799,Iris 404e,113.0,3.99,1,2.0,1,0,1400.0,4.0,56.9,125.0,64.0,9.9,3,32,0,2.0,0.0,1.0,1.0,2,210,128,1,3702.0000000000005,4
2800,Iris 503e,175.0,6.17,1,4.0,1,1,2000.0,5.0,65.6,143.2,73.3,10.5,3,32,1,3.15,1.3,1.0,1.0,2,225,128,1,6663.6,4
2801,Iris 506Q,143.5,5.04,1,4.0,1,1,2000.0,5.0,66.0,143.0,73.0,8.9,5,32,1,5.0,0.0,1.0,1.0,2,410,128,1,8144.400000000001,8
2803,Iris 504q,140.0,4.94,1,4.0,1,1,2000.0,5.0,66.2,142.9,72.9,8.4,5,32,1,8.0,2.0,1.0,1.0,2,410,128,1,12586.800000000001,6
